DEPTH       AMP3FT       AMPAVG       AMPMAX       AMPMIN       CCL          GR           LTEN         TT3FT        
110.5        59.3         95.1         100.8        90.1         0.0          73.7         231.0        287.5        
111.0        59.1         94.7         100.4        91.2         0.0          62.1         236.6        287.4        
111.5        59.0         94.8         98.9         92.6         0.0          52.5         235.0        287.3        
112.0        59.1         95.3         97.3         93.6         0.0          52.8         208.1        286.9        
112.5        59.4         95.0         98.3         91.8         0.0          67.4         220.7        286.7        
113.0        60.0         95.7         97.9         93.1         0.0          80.3         208.9        286.9        
113.5        60.7         96.8         99.7         94.6         0.0          85.1         223.1        287.1        
114.0        60.7         96.3         100.6        93.3         0.0          93.4         218.4        287.4        
114.5        59.5         94.8         99.1         90.8         0.0          91.1         229.4        287.6        
115.0        57.9         93.1         97.8         88.6         0.0          75.8         209.7        287.8        
115.5        57.5         92.7         95.6         89.1         0.0          66.5         230.2        287.9        
116.0        57.7         93.2         94.8         89.8         0.0          62.3         219.9        287.6        
116.5        57.6         93.5         97.4         88.0         0.0          74.5         238.1        287.5        
117.0        57.8         95.0         98.6         90.0         0.0          87.6         238.1        287.4        
117.5        58.6         96.6         102.6        93.9         0.0          84.3         229.4        287.3        
118.0        60.5         97.2         103.5        93.7         0.0          79.5         205.7        287.2        
118.5        59.9         95.8         97.2         93.5         0.0          77.7         227.9        287.3        
119.0        58.5         93.9         95.8         92.1         0.0          80.8         213.6        287.3        
119.5        59.1         94.0         95.3         92.9         0.0          88.9         220.7        287.3        
120.0        60.1         95.1         95.9         94.1         0.0          84.0         236.6        287.2        
120.5        60.3         93.6         95.5         91.5         0.0          73.5         228.6        287.3        
121.0        59.9         94.1         99.1         91.7         0.0          68.2         220.7        287.4        
121.5        59.1         95.3         98.4         93.6         0.0          72.7         235.0        287.4        
122.0        58.2         93.6         96.6         91.7         0.0          78.0         209.7        287.7        
122.5        58.1         93.2         97.4         91.6         0.0          72.5         224.7        287.5        
123.0        58.9         93.9         97.9         92.9         0.0          66.3         231.0        287.2        
123.5        59.9         93.2         96.7         89.6         0.0          71.5         219.9        287.2        
124.0        59.6         93.8         96.9         90.4         0.0          68.7         225.5        287.2        
124.5        58.8         93.9         97.0         87.4         0.0          62.0         225.5        287.2        
125.0        58.8         92.8         99.1         83.7         0.0          73.4         223.9        287.2        
125.5        59.0         93.3         96.6         90.9         0.0          82.3         231.0        287.4        
126.0        59.0         93.6         96.7         92.0         0.0          72.0         238.9        287.2        
126.5        59.6         93.3         94.5         91.6         0.0          67.3         217.6        286.9        
127.0        61.9         93.8         96.4         91.9         0.0          72.4         231.0        287.4        
127.5        61.2         93.4         97.1         90.4         0.0          71.2         234.2        287.7        
128.0        59.0         93.7         96.8         89.7         0.0          70.2         217.6        287.4        
128.5        59.0         94.2         97.3         90.8         0.0          75.3         234.2        287.2        
129.0        58.9         93.8         96.6         92.0         0.0          74.5         244.5        287.1        
129.5        59.3         94.0         96.6         91.2         0.0          69.7         237.4        287.0        
130.0        60.8         94.8         98.4         89.3         0.0          61.4         222.3        287.0        
130.5        59.2         92.4         95.7         86.6         0.0          52.3         212.8        287.6        
131.0        54.3         83.0         86.5         79.5         0.0          53.3         217.6        289.6        
131.5        50.7         72.5         82.2         63.8         0.0          56.2         229.4        293.9        
132.0        37.2         56.0         61.9         52.4         0.0          56.7         224.7        296.2        
132.5        34.1         55.0         58.4         49.4         0.0          59.5         243.7        294.6        
133.0        34.7         57.6         62.1         53.7         2.0          69.0         215.2        293.8        
133.5        35.5         58.1         61.6         54.7         0.0          78.2         218.4        294.5        
134.0        38.5         62.5         65.4         58.9         0.0          87.3         220.7        295.2        
134.5        45.7         73.1         74.7         69.5         0.0          89.3         231.8        291.6        
135.0        56.3         88.7         90.6         86.2         0.0          92.5         238.9        288.3        
135.5        59.9         93.5         96.3         90.0         0.0          108.8        241.3        287.4        
136.0        59.7         93.4         95.8         90.2         0.0          111.2        223.9        287.6        
136.5        58.9         94.0         95.7         92.4         0.0          89.8         238.1        287.5        
137.0        57.9         94.3         96.2         92.9         0.0          71.0         227.9        287.4        
137.5        58.0         93.4         95.0         91.4         0.0          67.3         237.4        287.3        
138.0        58.2         93.1         94.4         91.8         0.0          70.1         221.5        287.3        
138.5        58.6         92.8         94.8         90.5         0.0          81.2         216.0        287.3        
139.0        58.3         91.9         94.6         89.3         0.0          88.9         220.7        287.2        
139.5        57.8         91.8         94.8         89.9         0.0          77.4         223.1        287.1        
140.0        56.9         92.5         95.0         90.7         0.0          64.5         212.8        287.0        
140.5        55.4         92.0         94.4         89.9         0.0          60.6         231.8        287.0        
141.0        56.3         91.9         94.4         90.3         0.0          68.3         241.3        287.1        
141.5        56.8         92.0         94.6         89.9         0.0          79.1         225.5        287.2        
142.0        56.7         91.8         92.6         90.8         0.0          75.1         222.3        287.1        
142.5        56.8         92.3         95.3         90.0         0.0          58.3         232.6        287.0        
143.0        56.6         93.6         99.4         90.9         0.0          57.7         218.4        286.7        
143.5        57.0         93.2         97.6         90.3         0.0          69.3         241.3        287.0        
144.0        56.4         92.0         94.0         90.3         0.0          66.5         243.7        287.2        
144.5        56.0         91.1         92.5         89.6         0.0          58.1         226.3        287.2        
145.0        55.9         90.9         93.2         88.5         0.0          58.2         235.8        286.9        
145.5        56.6         91.2         93.2         89.7         0.0          54.6         232.6        286.9        
146.0        57.9         92.9         95.2         91.1         0.0          48.4         220.7        287.2        
146.5        57.1         92.2         94.5         89.9         0.0          47.4         233.4        287.5        
147.0        56.1         90.0         92.4         88.6         0.0          53.5         247.6        287.4        
147.5        56.3         90.0         93.6         88.1         0.0          73.4         219.9        287.3        
148.0        56.5         90.8         93.7         88.6         0.0          87.8         229.4        287.3        
148.5        56.6         90.7         92.6         88.8         0.0          82.8         229.4        287.2        
149.0        56.6         90.4         92.3         87.8         0.0          82.1         219.2        287.2        
149.5        57.1         90.9         94.6         87.6         0.0          87.3         226.3        287.0        
150.0        57.7         90.7         93.2         89.1         0.0          85.4         238.9        287.3        
150.5        57.4         90.1         92.1         87.1         0.0          82.5         218.4        287.5        
151.0        56.6         90.7         94.2         87.3         0.0          76.8         230.2        287.1        
151.5        56.5         91.4         94.9         87.4         0.0          69.1         220.7        286.9        
152.0        56.0         92.1         94.3         89.8         0.0          70.8         227.1        286.8        
152.5        54.4         92.3         94.1         90.3         0.0          74.1         241.3        287.2        
153.0        55.7         91.4         93.2         89.5         0.0          71.5         235.8        287.3        
153.5        57.6         91.4         95.5         88.1         0.0          70.2         240.5        287.0        
154.0        58.3         91.7         94.6         89.1         0.0          71.8         238.9        287.1        
154.5        58.8         92.2         94.3         90.3         0.0          67.7         226.3        287.1        
155.0        58.5         92.8         95.2         90.6         0.0          63.7         232.6        287.1        
155.5        58.3         92.6         94.4         89.8         0.0          65.4         243.7        287.4        
156.0        57.3         92.4         94.2         90.3         0.0          72.8         256.3        287.2        
156.5        57.2         92.1         94.0         90.6         0.0          77.7         250.0        286.8        
157.0        57.5         93.0         94.7         90.6         0.0          75.3         245.3        286.8        
157.5        58.3         94.6         96.9         92.5         0.0          73.3         223.1        286.9        
158.0        59.1         94.1         96.2         92.0         0.0          76.7         226.3        287.0        
158.5        59.6         93.0         95.6         88.9         0.0          78.6         238.9        287.3        
159.0        59.1         92.8         95.8         88.4         0.0          70.9         246.1        287.4        
159.5        57.9         92.7         94.8         90.1         0.0          71.0         238.9        287.4        
160.0        56.8         91.6         95.2         86.3         0.0          80.9         208.1        287.5        
160.5        56.2         91.3         95.5         86.7         0.0          77.8         212.8        287.5        
161.0        57.4         92.7         96.6         90.6         0.0          67.3         223.1        287.3        
161.5        58.5         93.1         95.8         90.8         0.0          68.0         231.8        287.3        
162.0        58.3         92.7         95.2         88.9         0.0          73.4         243.7        287.2        
162.5        57.8         92.9         97.3         88.3         0.0          76.2         235.0        287.3        
163.0        57.5         92.8         96.2         90.1         0.0          79.6         226.3        287.8        
163.5        56.9         93.1         95.6         90.5         0.0          82.2         241.3        287.7        
164.0        57.5         92.8         95.6         89.7         0.0          85.1         234.2        287.7        
164.5        58.8         92.8         95.7         90.5         0.0          81.1         242.1        287.5        
165.0        58.9         93.1         96.8         89.3         0.0          69.6         250.0        287.4        
165.5        58.6         93.4         96.7         87.5         0.0          61.6         234.2        287.4        
166.0        59.2         94.3         97.9         89.4         0.0          65.8         227.1        287.4        
166.5        58.6         94.5         99.4         90.4         0.0          82.7         242.1        287.2        
167.0        58.5         94.5         99.5         90.3         0.0          83.7         235.8        287.0        
167.5        61.9         94.1         100.3        89.4         0.0          67.2         240.5        287.2        
168.0        62.6         93.5         98.8         88.0         0.0          65.1         245.3        287.1        
168.5        59.2         92.8         96.4         89.6         0.0          73.3         228.6        287.0        
169.0        58.3         93.0         95.9         90.4         0.0          75.1         235.8        287.1        
169.5        57.9         93.4         95.9         91.4         0.0          68.4         234.2        287.2        
170.0        57.3         93.0         95.7         91.4         0.0          64.9         227.1        287.4        
170.5        57.6         92.6         95.7         90.8         0.0          72.0         252.4        286.2        
171.0        58.7         93.0         96.2         88.1         0.0          86.3         252.4        280.8        
171.5        59.0         93.7         96.7         88.2         0.0          92.9         229.4        280.9        
172.0        58.9         94.7         97.5         91.5         0.0          82.7         238.9        286.2        
172.5        58.3         94.5         97.3         92.3         0.0          69.0         231.0        287.2        
173.0        57.9         94.1         97.5         91.8         0.0          58.8         231.0        287.4        
173.5        59.5         94.3         98.8         90.6         0.0          49.3         245.3        287.9        
174.0        64.8         101.1        105.1        92.8         0.0          43.4         246.8        290.5        
174.5        57.8         91.4         93.5         87.2         0.0          47.0         219.2        293.4        
175.0        40.8         64.6         66.2         63.8         0.0          54.7         243.7        294.1        
175.5        36.8         58.2         59.8         56.1         0.0          58.3         226.3        294.1        
176.0        35.7         57.3         59.7         55.9         0.0          57.2         221.5        294.0        
176.5        39.6         60.0         64.9         53.0         0.0          51.6         246.1        294.3        
177.0        53.5         77.3         88.5         62.2         0.0          47.9         242.1        293.5        
177.5        54.4         84.3         90.2         78.4         0.0          61.3         223.9        289.4        
178.0        56.3         90.5         93.1         87.1         0.0          87.3         245.3        287.3        
178.5        59.6         94.3         97.3         90.4         0.0          88.7         227.1        287.2        
179.0        60.6         93.8         97.5         89.5         0.0          75.8         231.0        287.1        
179.5        59.1         93.1         96.6         89.6         0.0          75.2         245.3        287.4        
180.0        58.3         93.8         96.6         89.8         0.0          73.7         246.1        287.3        
180.5        57.9         94.1         100.2        87.9         0.0          63.2         222.3        287.1        
181.0        57.9         94.3         100.3        87.6         0.0          61.6         238.1        287.5        
181.5        58.6         94.3         98.2         89.1         0.0          67.1         261.1        287.6        
182.0        58.9         94.4         98.3         90.4         0.0          68.5         261.1        287.4        
182.5        58.6         94.3         98.6         90.3         0.0          62.5         252.4        287.2        
183.0        58.4         94.7         99.5         88.7         0.0          48.8         246.1        287.1        
183.5        58.7         94.0         98.2         87.4         0.0          43.9         232.6        287.3        
184.0        58.0         92.6         96.7         85.3         0.0          50.0         238.9        287.7        
184.5        57.6         94.1         99.9         88.5         0.0          59.4         220.7        287.4        
185.0        58.9         94.5         96.6         92.2         0.0          62.6         231.8        287.1        
185.5        59.1         93.7         96.0         89.7         0.0          63.8         254.8        287.0        
186.0        57.8         93.4         95.6         91.8         0.0          66.5         257.1        287.2        
186.5        58.1         93.6         97.0         90.1         0.0          64.0         234.2        287.2        
187.0        58.5         93.8         96.9         91.1         0.0          59.8         241.3        287.3        
187.5        58.4         93.7         96.2         90.7         0.0          67.1         228.6        287.5        
188.0        58.8         94.3         96.0         90.7         0.0          77.4         238.1        287.4        
188.5        58.8         93.6         95.2         90.7         0.0          79.2         243.7        287.1        
189.0        58.9         93.5         96.1         89.1         0.0          76.2         256.3        284.6        
189.5        59.4         94.2         99.3         91.4         0.0          69.6         231.8        281.1        
190.0        58.9         94.5         98.9         91.2         0.0          74.5         242.1        285.2        
190.5        58.8         94.8         97.5         90.6         0.0          80.2         223.9        287.3        
191.0        59.7         94.4         98.2         89.0         0.0          72.7         240.5        287.3        
191.5        59.5         94.5         99.0         90.1         0.0          66.8         246.1        287.2        
192.0        60.4         95.1         100.5        91.8         0.0          68.8         247.6        287.2        
192.5        60.0         95.5         100.7        91.9         0.0          70.8         224.7        287.3        
193.0        59.3         95.4         101.0        92.2         0.0          71.1         239.7        287.4        
193.5        60.5         95.4         99.7         92.3         0.0          70.6         232.6        287.0        
194.0        60.3         95.2         99.9         92.1         0.0          74.6         242.9        286.9        
194.5        59.1         94.9         97.2         92.0         0.0          72.5         243.7        287.2        
195.0        59.1         94.9         97.6         91.2         0.0          60.3         255.6        287.0        
195.5        59.0         94.7         97.6         91.1         0.0          54.6         219.9        284.5        
196.0        58.3         95.5         99.3         93.3         0.0          55.6         235.0        281.0        
196.5        58.2         96.6         98.5         93.3         0.0          59.4         228.6        285.3        
197.0        58.5         96.0         99.7         93.5         0.0          62.3         231.0        287.4        
197.5        59.0         95.2         98.2         93.0         0.0          62.3         246.1        287.3        
198.0        59.8         95.1         99.0         91.8         0.0          73.0         241.3        287.3        
198.5        59.8         94.7         98.9         89.8         0.0          81.7         223.1        287.2        
199.0        59.3         94.7         97.9         92.5         0.0          81.4         248.4        287.1        
199.5        58.8         94.8         97.9         91.9         0.0          74.0         229.4        287.1        
200.0        58.9         94.7         97.6         91.6         0.0          62.8         231.0        287.2        
200.5        59.4         94.7         97.4         91.9         0.0          64.6         250.0        287.1        
201.0        60.7         94.9         98.1         92.3         0.0          78.8         241.3        287.0        
201.5        61.9         94.6         97.9         91.4         0.0          80.2         223.1        287.4        
202.0        60.6         94.2         98.6         89.8         0.0          71.2         244.5        287.5        
202.5        59.5         93.7         97.7         88.9         0.0          63.5         221.5        287.4        
203.0        61.0         93.9         97.6         89.3         0.0          57.7         231.0        287.7        
