WELLNAME,= 33846-CBL (1),,,,,,,
STDEP  =,17,,,,,,,
ENDEP  =,10431.5,,,,,,,
LEVEL  =,0.5,,,,,,,
CURNAMES,"AMP3FT, AMPAVG,","AMPMAX,","AMPMIN, CCL,","GR, LTEN, TT3FT",,,,
,,,,,,,,
#DEPTH,AMP3FT,AMPAVG,AMPMAX,AMPMIN,CCL,GR,LTEN,TT3FT
5767.5,36.5,59.1,64.1,54.4,0,113.9,1252.7,289.9
5768,37.2,60,64.8,54.4,0,133.6,1251.9,289.7
5768.5,37.3,60.7,66.6,56.2,0,132.5,1221,289.5
5769,37.2,61.1,69.2,54.4,0,120,1233.7,289.5
5769.5,36.8,60.7,68,53.5,0,116.6,1228.2,289.6
5770,36.6,60.2,66.6,54.5,0,118.9,1248,289.6
5770.5,37,60.4,66,54.9,0,119.2,1255.9,289.4
5771,37.4,61.2,66.8,54.9,0,119.7,1255.1,289.2
5771.5,37.9,61.6,67,56.1,0,105.1,1223.4,289
5772,37.1,59.6,64.7,54.9,0,84.4,1239.2,289.4
5772.5,36.8,57.9,62.4,53,0,100.8,1218.7,289.6
5773,36.5,57.9,64.1,52.1,0,139.9,1251.1,289.6
5773.5,35.2,59,66.6,53.5,0,150.7,1256.7,289.7
5774,34.3,60.1,68.2,53.3,0,145.6,1245.6,289.4
5774.5,35.9,60.6,67.3,53.7,0,136.3,1225.8,289.2
5775,37.6,61.1,67.5,55,0,120.8,1241.6,289.2
5775.5,37.4,61.2,67.1,55.8,0,112.7,1221.8,289.4
5776,37.3,61,65.7,56.4,0,113.4,1240,289.7
5776.5,37,60.3,65.6,55.3,0,117.1,1257.4,290
5777,37,59.6,66.1,52.6,0,125.4,1221,289.8
5777.5,37.5,60.1,68.4,52.7,0,133.1,1230.5,289.8
5778,38.1,60.6,68.4,53.4,0,138.8,1233.7,290
5778.5,37.3,59.7,66.6,51.4,0,137.1,1225.8,289.6
5779,36.8,59,67.5,50.5,0,119,1239.2,289
5779.5,37.5,59.7,68.9,52.4,0,116.6,1254.3,289
5780,37,59.4,67,52.9,0,119.5,1254.3,289.2
5780.5,35.7,59.4,65.9,53.4,0,108.8,1225,289.9
5781,35.1,59.4,66.4,54,0,104.2,1234.5,289.9
5781.5,34.5,58,64.2,52.5,0,104.1,1248.7,289.9
5782,34.8,56.9,62.9,51.1,0,104.6,1248.7,290
5782.5,35.8,57.4,63.4,51.3,0,104.2,1251.9,289.9
5783,36.6,57.5,63.9,51.1,0,95.3,1240.8,289.8
5783.5,36.6,57,64.4,50.9,0,93.4,1217.1,289.9
5784,37.2,58,64.9,53.6,0,96.8,1237.7,289.9
5784.5,36.9,59.5,65.4,56,0,95,1223.4,289.8
5785,35.5,60.1,65.1,56.8,0,91.2,1236.1,289.8
5785.5,35.5,59.9,65,55.6,0,90.6,1261.4,290
5786,37.2,60.4,66.1,54.8,0,102.4,1235.3,290
5786.5,38.3,61.6,68.5,55.5,0,109.7,1226.6,289.8
5787,38.7,62.4,69.8,57.1,0,101.6,1244.8,289.4
5787.5,37.7,61.5,68.1,56,0,98.6,1225.8,289.3
5788,37.8,61.3,68,55.8,0,115.1,1239.2,289.2
5788.5,38.4,61.6,68.2,56.9,0,135.4,1248.7,289
5789,38,61.5,68.7,56.6,0,147.9,1255.9,288.9
5789.5,37.6,61.1,68.8,55.4,0,155,1242.4,287.7
5790,36.1,61,67.9,56.1,0,155.3,1237.7,282
5790.5,35.2,60.5,66.3,55,0,153.3,1235.3,282.3
5791,32.8,56.3,63.9,48,0,155,1250.3,293.3
5791.5,29.8,53.9,66.9,41.2,0,162.4,1256.7,304.5
5792,28,46.7,57.5,37.1,0,159.9,1245.6,301.7
5792.5,19.9,31.5,35.8,26.9,0,136.3,1214.7,298.7
5793,18.2,29.2,31.8,26.2,-2,116.7,1237.7,298
5793.5,18.5,29.3,32.7,26.4,0,119.2,1232.1,298
5794,19.6,31,33.5,27.9,0,130.9,1257.4,300.7
5794.5,24.2,39.2,42.6,35.4,0,135.8,1256.7,305.3
5795,29.5,49.1,54.9,45.3,0,138.5,1240,300.3
5795.5,33.7,56.3,63.8,51.1,0,155.6,1220.3,290.7
5796,33.2,54.3,60.7,48.5,0,174.8,1232.9,289
5796.5,31.8,51.4,56.2,46.6,0,169.8,1221.8,288.9
5797,31.2,50.1,55.4,44.7,0,158.6,1238.5,288.8
5797.5,29.9,47.9,56.5,42.4,0,146.8,1260.6,288.9
5798,27.9,45,54.4,39.3,0,129.4,1236.1,288.7
5798.5,25.8,41.7,47.5,37.3,0,110.8,1240,288.8
5799,23.8,39.1,45.6,33.1,0,102.9,1237.7,289.7
5799.5,23.1,37.7,44.1,33.3,0,120.3,1233.7,290
5800,24,38.1,43,34.3,0,134.6,1252.7,289.1
5800.5,24.8,39.2,41.8,35.4,0,133.2,1255.9,288.2
5801,25.2,39.7,42.6,35.9,0,137.2,1251.1,288.6
5801.5,25.6,39.2,44.9,35.9,0,139.6,1223.4,289.3
5802,24,37.6,44.9,33.9,0,134.4,1224.2,289.4
5802.5,22.6,36,40.9,32.9,0,126.1,1240,289.7
5803,22.3,35.7,39,31.1,0,111.9,1261.4,290.1
5803.5,21.6,35.4,39.2,30.4,0,108.4,1238.5,290.3
5804,21,34.3,38.2,31,0,114.5,1229.7,290.5
5804.5,20.1,32.5,34.6,30.5,0,119.3,1234.5,290.5
5805,18.7,29.1,32.6,26.7,0,124.8,1240,290.9
5805.5,17.2,24.8,30.2,21.9,0,121.6,1224.2,297.7
5806,14,21.2,25.9,18.1,0,122.3,1261.4,318.5
5806.5,11.8,19.2,23.6,15.7,0,132.7,1265.4,331.5
5807,10.9,18.2,22,14.6,0,141.8,1243.2,332.7
5807.5,11.7,17.3,20.2,14.3,0,149.7,1242.4,327.8
5808,12.7,17.1,20,14.6,0,152.9,1240.8,321
5808.5,12.3,18.2,21.4,14.9,0,152.6,1231.3,325.9
5809,13.3,20.7,23.4,17,0,154,1251.1,317.9
5809.5,15.4,24.4,27.6,21.1,0,153.3,1255.9,299.3
5810,17.7,28.5,31.8,25.5,0,145.9,1232.9,293
5810.5,20.8,33.9,39.2,30.4,0,132.2,1253.5,291.5
5811,23.8,39.9,47.5,35.4,0,120.6,1239.2,289.8
5811.5,24.8,40.3,44.5,37.7,0,110.2,1244,289.3
5812,22.9,36.3,39.3,34.3,0,116.3,1266.2,289.9
5812.5,20.1,31.1,34.7,27.7,0,141,1270.9,291.3
5813,18.4,28.2,34.9,23.4,0,142.2,1254.3,292
5813.5,17.8,27.2,35.1,23,0,129.4,1227.4,291.9
5814,19.2,29.5,35.8,24,0,129.7,1236.1,291.1
5814.5,22.8,36.2,42.5,30.1,0,118.6,1244.8,289.8
5815,26.6,43.4,49.3,38.1,0,100.4,1263.8,289.1
5815.5,29.8,49.2,54.6,43,0,102.1,1266.2,289.4
5816,31.9,51.7,56.6,46.2,0,115.3,1237.7,289.2
5816.5,32.7,51.3,56.5,45.9,0,116,1237.7,289
5817,30.9,48.2,54.4,41.9,0,114.1,1252.7,288.7
5817.5,27.8,43,51.4,36.5,0,121.4,1236.9,288.5
5818,25.1,37.7,44.6,32.5,0,119.2,1268.5,289.2
5818.5,21.5,32.5,36.3,28.6,0,110.7,1267.7,290.7
5819,17.7,26.8,30.4,24,0,122.3,1232.9,292.5
5819.5,14.8,22.2,25,20.1,0,143.6,1243.2,298.3
5820,12.9,18.7,21.7,16.3,0,142.7,1241.6,310.4
5820.5,10.9,15.3,17.7,12.6,0,137.3,1230.5,322.3
5821,9.1,13.2,15.4,9.7,0,138.5,1259,330.4
5821.5,8.5,11.8,14.1,9.4,0,133.1,1264.6,332.3
5822,8.7,11.5,14.5,9.3,0,149.6,1232.9,333.1
5822.5,9.4,12.4,14.5,10.5,0,175.4,1259,331.6
5823,11.3,15,17.7,12.1,0,172.2,1232.9,318.5
5823.5,14.2,20,24.8,16.3,0,144.8,1244,299.2
5824,17.1,27.3,32.5,24,0,116.9,1267.7,291.7
5824.5,22.6,38.6,44.4,34.5,0,99.5,1267.7,289.9
5825,31,51.3,57.8,45.6,0,83.4,1250.3,289.3
5825.5,37.6,60.3,66.7,54.1,0,69.7,1236.1,288.8
5826,39.8,64,72.3,57.7,0,73.8,1248.7,288.5
5826.5,39.2,65,71.2,57.2,0,89.2,1259,288.7
5827,39.1,63.7,69.8,56.7,0,100.4,1275.7,288.9
5827.5,38.9,62.2,68.1,57.1,0,107.5,1278.8,289.2
5828,37.3,60.2,66.4,55.3,0,99.4,1237.7,289
5828.5,34.9,56.5,62.5,51.4,0,80,1239.2,288.9
5829,32.7,53.9,59.5,49.4,0,81.6,1248,289.2
5829.5,31.4,53.1,58.1,49.1,0,91.4,1232.1,289.3
5830,29.5,50,54.2,47.3,0,95.1,1269.3,288.9
5830.5,27.6,45.1,48.8,42.6,0,98.4,1268.5,289.1
5831,27.9,43.5,47.8,40.5,0,105.6,1237.7,289.5
5831.5,27.8,43.1,49.1,38.8,0,117.7,1264.6,290
5832,25,39.5,46,34,0,122.3,1242.4,291.6
5832.5,20.9,32.6,38.1,27,0,116.1,1239.2,299.8
5833,22.7,31.2,38.7,23.9,0,113.8,1273.3,304.2
5833.5,22.4,29.8,36.4,22.8,0,108.8,1270.1,314.5
5834,15.2,21.7,23.8,19.2,0,99.8,1253.5,331.9
5834.5,12.6,19.1,21,17,0,97.2,1259,324
5835,12.1,18.1,21,16.4,0,90.9,1239.2,323.6
5835.5,12.6,18.4,20.3,16.6,0,81.1,1246.4,331.3
5836,16.1,24.3,26.6,22.2,0,81.5,1270.1,317.7
5836.5,16.4,23.3,26.6,21.4,0,99.8,1274.1,313.1
5837,13.7,19.1,20.2,18.1,0,120,1251.9,322.1
5837.5,11.8,17.2,18.2,16.2,0,129.3,1248,330.5
5838,10.5,15.2,17.1,13,0,129.8,1252.7,332.1
5838.5,9.8,13,14.4,10.6,0,119.4,1263,332.3
5839,8.7,11.2,13.4,9.3,0,103.6,1273.3,333.1
5839.5,8.2,11.2,13.8,9,0,98,1270.9,334
5840,8.1,11.4,15,8.7,0,104,1234.5,334.3
5840.5,7.5,10.8,14.8,8.8,0,111.5,1254.3,334.7
5841,6.5,10.5,13.2,8.9,0,114.5,1247.2,334.7
5841.5,6.1,9.7,11.3,7.6,0,111.4,1248,334.9
5842,6.7,8.8,9.8,6.8,0,110.7,1271.7,335.1
5842.5,7.2,8.6,9.8,7.5,0,119.1,1259,335.2
5843,7.6,8.6,10.1,6.9,0,121.3,1234.5,335.2
5843.5,8.7,9.7,12.2,7.2,0,115.2,1251.1,335.1
5844,8.7,10.3,14.7,7.8,0,119.1,1232.1,334.7
5844.5,7.8,10,12.4,7.9,0,134,1250.3,334.3
5845,7.3,9.8,10.8,8.1,0,142.1,1266.2,334.5
5845.5,8.5,10.9,11.7,9.4,0,130.9,1273.3,334.6
5846,10.5,14.2,16.8,12.2,0,123.7,1248.7,333.1
5846.5,13.1,19.4,22.7,16.6,0,127.8,1259.8,319.6
5847,18.1,25.5,28.5,22,0,118,1240.8,298
5847.5,23.4,33.3,38.1,28.5,0,103.5,1249.5,290.5
5848,30.4,45.2,50.1,37.7,0,100.5,1244.8,289.4
5848.5,36.4,56.7,61.7,50.1,0,95.1,1244.8,289.1
5849,37.2,61.1,67.6,55.5,0,87.2,1232.9,289.3
5849.5,36.5,60.5,67.8,55,0,86.5,1244,289.2
5850,37.4,61.3,68.6,54.7,0,88.5,1247.2,289
5850.5,38.5,62.8,70.3,55.7,0,76.3,1266.2,289
5851,39.5,63.7,71.4,57.5,0,67.9,1270.1,289.3
5851.5,40.1,64.8,72.1,58.9,0,74.4,1274.1,289
5852,41.1,66.1,73.4,59.8,0,85.2,1240.8,288.9
5852.5,42,67,73.8,58.6,0,101.1,1251.1,288.8
5853,41.9,66.7,74.7,57.3,0,106.3,1238.5,288.6
5853.5,41.4,66.6,73.5,59.4,0,94.7,1244.8,288.5
5854,41.4,66.8,73.4,60.9,0,86.6,1269.3,288.6
5854.5,42.2,66.8,74.3,60.9,0,98.6,1259.8,288.1
5855,42.3,67.1,75,60.4,0,114.1,1242.4,288.1
5855.5,40.9,67.3,75.5,60.5,0,128.8,1259,288.7
5856,40.8,67.6,75.2,61,0,132,1238.5,288.9
5856.5,41.5,68,75.9,60.7,0,109,1253.5,289.1
5857,41.8,68.5,75.5,60.1,0,98.7,1270.1,289.2
5857.5,41.9,68.4,75.5,59.8,0,100.8,1266.9,289.2
5858,41.2,67.2,76.1,59.6,0,105.3,1240.8,289.4
5858.5,40.1,66.1,75.6,58.7,0,116.8,1255.1,289.4
5859,40.4,66.3,73.5,59.4,0,109.7,1240.8,289.1
5859.5,41.3,66.8,72.7,60,0,92.3,1266.2,288.9
5860,41.1,65.8,72.7,58.5,0,95.8,1282.8,288.8
5860.5,40.3,65,72,58.6,0,104.5,1278,288.7
5861,39.5,64,71.4,57.8,0,97.5,1247.2,288.7
5861.5,38.1,62.1,70,55.8,0,101.1,1262.2,289
5862,36.4,59.9,68.2,52.8,0,118.4,1255.9,289
5862.5,34.6,56.4,64.5,48.2,0,125.2,1270.9,289
5863,33.4,54.1,61.8,45.8,0,129.4,1264.6,289.2
5863.5,32.7,53.6,60.9,45.2,0,133.4,1258.2,289.2
5864,30.9,51.2,58.5,42.1,0,124.6,1230.5,289.3
5864.5,28.5,47.2,54.9,37.4,0,113.7,1253.5,289.6
5865,27.3,43.1,50.3,34.8,0,102.8,1238.5,289.8
5865.5,26.9,40.2,46.7,34.8,0,90.1,1252.7,290.2
5866,24,36.7,42.7,32.1,0,90.9,1270.1,290.7
5866.5,21,31.8,37.8,27.5,0,103.5,1259,290.7
5867,19.3,28.9,34.6,25.3,0,103.9,1244.8,291
5867.5,17.5,27,32.4,22.9,0,90,1263,291.8
5868,16.2,25.5,30,22,0,89.5,1236.1,292
5868.5,15.4,24.6,28.9,21,0,98.3,1251.1,292.6
5869,15.7,24.6,29,19.9,0,107.8,1264.6,292.4
5869.5,15.9,25,29.5,20.9,0,117.5,1266.2,293.6
5870,15,23.7,28.7,19.8,0,122.3,1253.5,301
5870.5,14.1,22.5,26.5,17.7,0,127.1,1237.7,302.7
5871,13.8,21.1,25.6,15.9,0,130.2,1245.6,303.3
5871.5,13.5,20.2,25.6,14.8,0,121.4,1264.6,306.7
5872,12.8,19.3,23.6,14.9,0,105.7,1270.1,312.4
5872.5,11.5,18.3,22.7,13.7,0,104.6,1270.1,323.1
5873,10.8,17.8,22.1,12.9,0,118.5,1232.1,330.4
5873.5,9.9,17,20.6,13.7,0,135.6,1251.1,331.5
5874,10.3,15.5,17.8,12.2,0,149.8,1248.7,331.7
5874.5,10.2,13.6,16.1,9.9,0,150.5,1274.9,332.4
5875,9,11.4,13.1,8.6,0,135.8,1273.3,337.6
5875.5,7.9,10,11,8.5,0,122.1,1264.6,350.4
5876,7.4,9.9,11.5,7.7,0,109.4,1246.4,349.9
5876.5,7.8,11.4,14,8.6,0,93,1262.2,340.8
5877,8.2,11.8,14.2,9.4,0,83.4,1242.4,339.1
5877.5,9.2,12.9,15.7,10.4,0,99.7,1259,335.4
5878,11.8,18.3,22.2,14.3,0,125.7,1274.9,321.5
5878.5,11.7,18.7,22.1,15.1,0,138.2,1258.2,322.3
5879,10.3,16.9,19.5,14.7,0,137.5,1242.4,330.2
5879.5,10.7,16.6,18.8,13.9,0,128.6,1263,331.5
5880,11.3,16.3,19.5,12.8,0,123.5,1241.6,331.4
5880.5,10.9,16.5,20,13.1,0,126.2,1251.1,331
5881,11.2,16.7,20.6,11.9,0,139.8,1276.4,329.4
5881.5,12.6,16.4,20.1,11.8,0,158.6,1248,321
5882,11.8,15.1,18.4,11.3,0,156.9,1243.2,321
5882.5,10.4,13.7,16.5,10.4,0,148.1,1259,329.5
5883,9.9,13.1,16,10.7,0,138.5,1240,331.5
5883.5,9.1,12.6,14.6,10.5,0,131.3,1256.7,332
5884,8.4,11.8,14,9.2,0,138.3,1273.3,332.4
5884.5,7.8,11.1,13.8,7.7,0,146.8,1277.2,332.7
5885,7.8,10.6,14.2,7.5,0,150.2,1249.5,333.1
5885.5,7.1,10.5,14.8,8.1,0,143.7,1251.1,333.3
5886,6.9,10.5,14.7,8.1,0,129.5,1247.2,333.7
5886.5,7,9.9,13.6,7.2,0,118.4,1262.2,334.1
5887,6.9,9.7,12,6.6,0,114.6,1271.7,334.2
5887.5,7.1,9.9,11.7,7,0,117.9,1271.7,334.3
5888,7.2,9.5,11.4,6.7,0,128.4,1236.9,334.5
5888.5,7.6,9.1,10.8,6.8,0,136.2,1251.9,335.1
5889,8.4,8.9,11,6.9,0,132.7,1248.7,336.2
5889.5,8.5,8.5,10.2,6.5,0,122.8,1266.9,336.9
5890,7.6,8.5,9.7,6.8,0,118.6,1269.3,336.5
5890.5,7,8.3,9.5,6.8,0,125.9,1272.5,336.1
5891,7,8.1,9.4,6.1,0,134.4,1244,335.9
5891.5,7.2,8.3,10.6,6.6,0,133.9,1263.8,335.6
5892,7.3,8.6,10.7,6.8,0,129.7,1274.9,335.2
5892.5,7.1,9.6,13.1,7.4,0,140.2,1274.9,335.1
5893,6.7,9.7,13.5,7.8,0,154.4,1278,335.2
5893.5,6.5,8.9,10.9,7.1,0,151.7,1266.9,335.5
5894,6.5,8.8,11.6,6.9,0,136.4,1242.4,336.1
5894.5,6.1,8.6,10.7,7,0,138.4,1263.8,335.9
5895,6.5,9,10.4,7.6,0,144.2,1255.1,335.3
5895.5,7.2,9.7,11.3,7.4,0,135.8,1272.5,334.6
5896,7.3,10.2,12.1,7.5,0,135.3,1271.7,334
5896.5,8,10.8,13.2,9,0,144.2,1261.4,333.3
5897,9.4,11.2,13.9,9.2,0,158.2,1236.1,332.4
5897.5,9.2,10.8,14.4,8.5,0,163.6,1260.6,332.5
5898,8.5,11,14.3,8.3,0,150.1,1244.8,333
5898.5,8.1,11.1,13,9.3,0,133.7,1274.9,333.1
5899,7.9,10.9,13,9.1,0,132,1279.6,332.9
5899.5,7.9,10.8,13.6,9.2,0,139.9,1252.7,332.6
5900,7.9,10.9,13.9,8.7,0,141,1240.8,332.5
5900.5,7.4,11.7,15,8.5,0,141.1,1255.9,332.5
5901,7.5,11.4,15.2,7.9,0,142.8,1245.6,333.4
5901.5,7.3,9.5,12.5,6.7,0,148.5,1261.4,333.9
5902,6.9,8.7,11.9,5.6,0,146.9,1288.3,333.5
5902.5,6.5,9,14.1,5.6,0,133.6,1251.1,333.6
5903,6.7,8.9,14.1,6.1,0,120.8,1248,328.9
5903.5,8.6,8.6,12,6.9,0,123.6,1248,320.2
5904,7.9,8.7,11.5,7,0,127.7,1246.4,327.5
5904.5,7.3,9.4,11.5,7.1,0,113.8,1260.6,332.4
5905,7.1,9.7,11.5,7.8,0,99.7,1272.5,333.1
5905.5,6.5,9.1,11,6.9,0,101.9,1247.2,333.9
5906,6.4,8.9,11.4,6.3,0,100,1256.7,334.1
5906.5,6.2,8.8,11.7,6.7,0,94.7,1258.2,334.1
5907,5.8,8.5,11.2,6.5,0,104.2,1244.8,334.5
5907.5,6.2,8.3,10.9,5.7,0,122.8,1269.3,335.2
5908,6.5,9,11.3,5.9,0,141.1,1278.8,335
5908.5,6,9.9,12.2,5.5,0,147.9,1243.2,333.9
5909,6.1,10.2,12.4,5.1,0,128.6,1263,332.3
5909.5,7.7,10.7,12.6,7.4,0,109.5,1254.3,331.2
5910,8,11,14.3,7.8,0,107.1,1248.7,331.2
5910.5,7.7,11.5,16.8,5.2,0,112.9,1268.5,331.2
5911,7.2,12.3,16.5,7,0,120.7,1271.7,331.4
5911.5,7.5,12.2,17.4,6.7,0,123.7,1266.2,331.1
5912,8.3,12,18,7.6,0,123.8,1260.6,331
5912.5,7.9,11.8,16.5,6.9,0,134.1,1248.7,331.2
5913,8.5,11.7,15.2,7.8,0,133.4,1255.1,331.2
5913.5,7.9,11.6,14.6,7.2,0,114.8,1263.8,331.4
5914,7.2,10.7,14,6.6,0,110.1,1263.8,331.9
5914.5,7.2,10.2,13.1,7.7,0,122.4,1257.4,332.5
5915,7.5,10.7,13.7,7.9,0,134.7,1244.8,332.6
5915.5,7.1,9.8,11.9,6.9,0,147.5,1242.4,332.6
5916,6.8,8.5,10.6,5.9,0,154.2,1254.3,332.1
5916.5,8,9.8,11.4,8,0,139.2,1284.4,329.5
5917,7.8,10.2,11.7,9,0,126.8,1286.7,334.9
5917.5,6.3,8.2,11,7.1,0,125.1,1275.7,341.1
5918,6.7,8.7,12.2,6.7,-2,132.7,1257.4,340.9
5918.5,7.9,9.9,13.3,7.4,0,145.6,1265.4,340.1
5919,9.2,11.1,13.6,8.9,0,136.2,1265.4,336.7
5919.5,11,14.1,16.9,11.8,0,124.1,1278,329.3
5920,11,15.2,17.4,13.4,0,127.1,1277.2,330.3
5920.5,11,18.1,20.8,15.5,0,135.8,1250.3,331.3
5921,11.2,18.7,22.3,15.7,0,150.8,1255.9,330.8
5921.5,11.1,17.1,22.6,12.2,0,159.5,1263,326.3
5922,12.4,16.9,22.2,11.2,0,149.2,1241.6,320.1
5922.5,12.6,17.7,22.8,12,0,130.8,1289.9,325.1
5923,12.4,18.4,23.4,13.9,0,117.5,1278,322.8
5923.5,11.8,18.6,23.3,15,0,118.6,1249.5,321.9
5924,12.3,18.4,23.4,14,0,118.9,1254.3,322
5924.5,12.6,18.5,26.7,13.8,0,114.4,1255.1,323.2
5925,12.5,19.1,27.4,14.7,0,119.3,1255.1,330
5925.5,12.3,18.9,24.7,13.3,0,119.3,1279.6,330.4
5926,12.4,18.9,24.5,13.4,0,112.2,1278,323.2
5926.5,13.2,19.2,25.4,14.2,0,121.8,1242.4,318.9
5927,13.4,19.1,25.6,12.9,0,136.3,1254.3,319.1
5927.5,12.8,19.4,24.2,12.8,0,148.8,1250.3,323.6
5928,12.9,19.6,24.2,13.7,0,156.4,1259,322
5928.5,13,19.2,23.9,14.9,0,149.4,1270.1,328.1
5929,13,19.2,24.7,14.7,0,137.2,1284.4,330.1
5929.5,13.5,19.5,24.8,13.1,0,128.5,1248,318.3
5930,14.4,19.8,26.6,13,0,122,1266.2,304.7
5930.5,13.3,19.9,28,14.1,0,110.5,1257.4,316.7
5931,12.7,19.2,25.1,13.1,0,94.5,1263.8,321.3
5931.5,13.4,19.7,26,13,0,100.2,1278.8,312.1
5932,14.2,20.9,28.7,14.4,0,126.7,1283.6,307.3
5932.5,15.4,22.4,30.6,16.5,0,152.6,1249.5,302.7
5933,16.1,24.6,32.5,18.9,0,158.4,1268.5,295.3
5933.5,16.5,26.1,33.6,20.4,0,148.8,1254.3,293.2
5934,16.8,26.5,34.2,20,0,143.6,1262.2,292.7
5934.5,16.9,26.1,34.8,19.2,0,139.5,1277.2,292.6
5935,16.9,25.6,35.3,18.4,0,133.6,1288.3,292.6
5935.5,16.4,24.7,33.4,16.1,0,118.2,1274.1,293.1
5936,16,25.1,32.6,16.8,0,101.2,1270.9,293.4
5936.5,17.1,27.1,34.6,20.5,0,99.6,1255.9,293.1
5937,18.6,29.6,37.6,23.7,0,111.9,1266.9,292.4
5937.5,20.6,33.2,41.5,25.1,0,116.7,1289.1,290.8
5938,22.4,36,45.3,27.7,0,103.3,1288.3,290.1
5938.5,22.2,35.5,45,26.4,0,90.9,1278,291.1
5939,20.6,32.7,41.3,25.2,0,93.3,1262.2,291.7
5939.5,18.9,29.4,37.4,22.5,0,96.2,1256.7,292.7
5940,17,25.8,32.8,19.6,0,102.4,1271.7,295.4
5940.5,14.8,22.1,27.4,16.6,0,117.3,1282.8,308.7
5941,12.7,19.1,23.5,14.3,0,124.5,1292.3,328
5941.5,11.7,17.4,22.6,13.8,0,130.6,1262.2,334
5942,11.8,16.4,22.9,12.4,0,144.5,1260.6,330.5
5942.5,12.2,15.1,21.4,11,0,148.7,1259,324
5943,10,13,17,9.6,0,144.4,1274.9,330.6
5943.5,8.7,12.4,15.9,9.2,0,144.2,1289.9,334.8
5944,8.6,12.4,15.3,9.8,0,139.4,1285.1,335
5944.5,8.7,11.5,14.2,8.7,0,130.1,1258.2,335.2
5945,8.4,11.2,14.7,8.5,0,131.1,1260.6,335.2
5945.5,8,11.3,15.1,8.4,0,136.2,1263.8,335.1
5946,8,11.8,15.3,8.5,0,129.7,1275.7,334.8
5946.5,8.2,12.8,15.6,8.4,0,110.7,1283.6,334.7
5947,9.1,12.4,15.9,9.1,0,114,1282,334.5
5947.5,8.7,11.9,14.7,9.6,0,145.8,1249.5,334.7
5948,8.7,12.5,14.8,10.1,0,165.3,1274.9,333
5948.5,10.4,13.4,15.1,11.1,0,166.2,1266.2,324.5
5949,10.9,14.8,17,11.2,0,175.7,1259.8,324
5949.5,10.5,15.8,19.7,11.9,0,179,1286.7,331.5
5950,11.4,17.1,22.4,13.4,0,162.2,1273.3,332
5950.5,13.3,19.2,26.8,15.8,0,134.9,1242.4,324.5
5951,13.9,20.9,27.7,17.6,0,116.9,1265.4,322.6
5951.5,13.5,21.9,27.8,18.2,0,111.1,1259,317.6
5952,14.1,21.9,26.5,17.8,0,105.9,1266.9,301.6
5952.5,14.1,21.7,26.3,17.7,0,110.2,1286.7,302.8
5953,13.9,21,25.7,17.3,0,125,1283.6,306.5
5953.5,13.9,21.2,26.9,16.6,0,149.3,1249.5,306.2
5954,14.7,22.6,28.2,16.8,0,174.8,1265.4,298.5
5954.5,15.4,23.3,28.3,18.1,0,186.1,1256.7,293.4
5955,15.6,23.8,28.5,19.4,0,183.4,1267.7,292.6
5955.5,16.2,25.1,30.6,20.9,0,176.1,1290.7,291.8
5956,16.7,25.8,32.1,19.5,0,180,1293.9,291.5
5956.5,16.7,24.9,31.2,18.6,0,177.7,1260.6,293.6
5957,14.4,21.3,27.7,16,0,161.4,1259.8,305.6
5957.5,11.2,17.8,21.9,13.4,0,148.7,1260.6,324.3
5958,9.8,15.4,17.8,11.4,0,150.6,1266.9,341.5
5958.5,8.4,12.6,15.3,9.7,0,159.2,1286.7,343.6
5959,8.7,13.2,16.7,10.4,-2,149.7,1285.9,340.9
5959.5,9.4,14.3,18.1,12,0,143.1,1262.2,340.6
5960,12,18.2,22.3,15.4,0,143,1278,337.2
5960.5,16.1,25.1,30.9,21,0,138.5,1260.6,326.2
5961,15.8,26.2,31.6,22.2,0,141,1273.3,314.9
5961.5,17.1,28.8,34,25.2,0,149.6,1286.7,297.7
5962,18.2,29.6,35.3,24.4,0,145,1294.6,291.6
5962.5,18.4,29.5,35.3,23.3,0,138.9,1258.2,291.2
5963,18.8,29.5,35.6,23.8,0,138.4,1271.7,291.2
5963.5,19.3,29.5,35.4,23.4,0,138.3,1262.2,291.3
5964,19.5,30.9,37.6,24.8,0,137.8,1277.2,291
5964.5,19.9,32.5,38.6,27.2,0,139.8,1297,290.6
5965,21.3,33.2,39.8,28.1,0,140.6,1305.7,290.8
5965.5,23.4,35.2,41.6,29.4,0,133.7,1259.8,290.7
5966,22.9,36.2,41,29.9,0,135.1,1270.9,290.5
5966.5,22.1,35.7,39.6,30.5,0,157.2,1263.8,290.7
5967,22,35,39.8,30.5,0,180.1,1282,290.8
5967.5,21.9,35,40,29.9,0,182.1,1296.2,290.6
5968,21.8,34.9,39.6,29.8,0,178.6,1293.1,290.5
5968.5,21.7,34.8,39,29.6,0,181.2,1257.4,290.6
5969,20.6,33.4,36.9,28.5,0,174,1270.1,290.9
5969.5,19.1,30.3,33.9,26.1,0,158.9,1263,291.3
5970,17.9,27.9,31.3,24.4,0,151.3,1289.9,291.7
5970.5,16.5,25.8,29,22.6,0,150.7,1295.4,291.9
5971,15.4,24.1,27,21.4,0,155.9,1292.3,293.3
5971.5,14.6,22.6,24.5,20.3,0,156.7,1263.8,300.2
5972,13.8,21,22.9,18.5,0,153.7,1287.5,319
